serialNumber,imei,modelNumber,status,lastActive,signal,battery,dataUsage,po
"11F215200240","864351056302161","LS802-GP","Activated","","13","100","","PO#5BF00162"
"11F215200214","864351056303490","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200011","864351056306766","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200063","864351056300421","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200040","864351056303029","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200140","864351056301049","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200020","864351056301213","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200108","864351056303227","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200189","864351056302955","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200001","864351056307095","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200082","864351056308606","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200221","864351056303250","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200220","864351056310149","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200252","864351056297643","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200162","864351056308408","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200014","864351056312673","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200024","864351056301569","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200253","864351056303458","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200251","864351056301643","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200164","864351056301973","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200036","864351056308598","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200023","864351056300579","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200084","864351056310578","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200171","864351056301114","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200008","864351056302302","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200010","864351056300520","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200093","864351056297114","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200096","864351056297072","LS802-GP","Activated","2022-06-07T10:40:51.021Z","25","80","","PO#5BF00162"
"11F215200173","864351056259833","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200222","864351056300025","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200219","864351056299276","LS802-GP","Activated","","18","100","","PO#5BF00162"
